,title,published_date,views,likes,dislikes,comments,commeents,month
180,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),Jun,5719,154,0,53,53,01-06-1900
181,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],May,75688,2246,0,271,271,01-05-1900
182,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),May,21001,488,0,81,81,01-05-1900
183,Different Data Science Roles Explained (by a Data Scientist),May,56327,2001,0,178,178,01-05-1900
184,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),May,11286,180,0,53,53,01-05-1900
185,How to Make A Data Science Portfolio Website with Github Pages,May,135831,4524,0,193,193,01-05-1900
186,10000 Subscriber and 100th Video Special (Data Science),May,3104,147,0,115,115,01-05-1900
187,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),May,4552,154,0,74,74,01-05-1900
188,How I Would Learn Data Science (If I Had to Start Over),May,1398033,48948,0,1989,1989,01-05-1900
189,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),May,5594,198,0,42,42,01-05-1900
190,What You Need to Know for a Data Science Internship,May,22525,1215,0,60,60,01-05-1900
191,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),Apr,8388,348,0,54,54,01-04-1900
192,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),Apr,14996,456,0,103,103,01-04-1900
193,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,Apr,3167,85,0,24,24,01-04-1900
194,5 Tips for Crushing the Work From Home Life,Apr,5444,203,0,38,38,01-04-1900
195,Data Science Project from Scratch - Part 7 (Documenting Your Work),Apr,22174,746,0,129,129,01-04-1900
196,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),Apr,30359,739,0,98,98,01-04-1900
197,Data Science Project from Scratch  - Part 5 (Model Building),Apr,45420,917,0,155,155,01-04-1900
198,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),Apr,74115,1914,0,214,214,01-04-1900
199,Data Science Project from Scratch - Part 3 (Data Cleaning),Apr,82908,1785,0,277,277,01-04-1900
200,Data Science Project from Scratch - Part 2 (Data Collection),Apr,132543,3551,0,621,621,01-04-1900
201,Data Science Project from Scratch - Part 1 (Project Planning),Apr,204238,5138,0,173,173,01-04-1900
202,When Data Science Goes Wrong,Mar,1816,106,0,32,32,01-03-1900
203,How to ULTRALEARN Data Science,Mar,62130,3817,0,169,169,01-03-1900
204,Why Right NOW is a Great Time to Learn Data Science,Mar,4468,268,0,50,50,01-03-1900
205,Data Science Project Example Start to Finish (Deep Learning Image Classifier),Mar,13431,473,0,45,45,01-03-1900
206,The Secret Data Scientists Don't Want You to Know,Mar,10842,1140,0,103,103,01-03-1900
207,The 5 Stages of Learning Data Science,Mar,17612,1296,0,78,78,01-03-1900
208,Can You Learn Data Science Without a Computer?,Mar,1819,122,0,14,14,01-03-1900
209,The Best Free Data Science Courses Nobody is Talking About,Mar,348537,21215,0,620,620,01-03-1900
210,The Data Science Projects that Got Me a Job,Mar,41313,1400,0,41,41,01-03-1900
211,How to Integrate Data Science into Your Business,Mar,3396,130,0,18,18,01-03-1900
212,The Problem with Data Science,Feb,3810,153,0,19,19,01-02-1900
213,How Much Did Cheating Help the Astros Win? (What the Numbers Say),Feb,1194,46,0,16,16,01-02-1900
214,How to Set Up Your Data Science Environment (Anaconda Beginner),Feb,134667,0,0,0,0,01-02-1900
215,3 Proven Data Science Projects for Beginners (Kaggle),Feb,331930,17931,0,526,526,01-02-1900
216,Data Science Advice for College Students,Feb,69070,1966,0,197,197,01-02-1900
217,Avoid These Data Science Resume Mistakes!,Feb,28721,1248,0,62,62,01-02-1900
218,Data Science Explained with ... Cooking?,Feb,5434,317,0,48,48,01-02-1900
219,The 4 Types of Sports Analytics Projects,Feb,32543,1056,0,62,62,01-02-1900
220,Data Science in Golf: PGA Merchandise Show 2020,Jan,598,18,0,13,13,01-01-1900
221,How I Learned Data Science,Jan,94293,2697,0,210,210,01-01-1900
222,What is Sports Analytics Really?,Jan,21954,621,0,74,74,01-01-1900
